ID,QUERY,CAT,DIFFICULTY
ysqle-trec-2013-93-0,+(black or african-american) history month events,CatQ,10
esdbpediav2-INEX_LD-2012336,1906 territory papua island australian,ConQ,4
ysqle-trec-2011-63-2,1990 fisa wiretap applications,CatQ,3
esdbpediav2-INEX_LD-2012319,1994 short story collection alice munro is open,ConQ,4
esdbpediav2-INEX_LD-2012341,1997 houston airport president,ConQ,3
ysqle-trec-2013-70-3,aids africa charity donate,CatQ,10
esdbpediav2-TREC_Entity-12,airlines that air canada has code share flights with.,CatQ,3
esdbpediav2-TREC_Entity-7,airlines that currently use boeing 747 planes.,CatQ,100
esdbpediav2-INEX_XER-140,airports in germany,CatQ,10
esdbpediav2-INEX_XER-64,alan moore graphic novels adapted to film,CatQ,3
esdbpediav2-INEX_LD-2012349,alexander nevsky cathedral bulgarian city liberation turks,ConQ,4
esdbpediav2-INEX_LD-2012377,allegedly caused world war i,ConQ,3
esdbpediav2-INEX_LD-2012363,american twins famous american professional tennis double players,ConQ,3
esdbpediav2-INEX_LD-2012375,animals lay eggs mammals,CatQ,10
esdbpediav2-SemSearch_LS-1,apollo astronauts who walked on the moon,CatQ,3
esdbpediav2-SemSearch_LS-2,arab states of the persian gulf,CatQ,3
esdbpediav2-INEX_LD-2012321,asian port state-city sir stamford raffles,ConQ,3
esdbpediav2-SemSearch_LS-3,astronauts who landed on the moon,CatQ,3
ysqle-trec-2010-119-1,atari consoles,CatQ,3
ysqle-trec-2010-119-0,atari consoles history,CatQ,3
ysqle-trec-2011-65-2,australia female wine makers,CatQ,100
ysqle-trec-2011-64-2,australia female winemaker,CatQ,100
ysqle-trec-2011-65-3,australia wine,CatQ,100
ysqle-trec-2011-65-1,australian female winemakers,CatQ,100
esdbpediav2-TREC_Entity-14,authors awarded an anthony award at bouchercon in 2007.,CatQ,3
ysqle-yahoo-465-1,autozone locations,CatQ,100
esdbpediav2-SemSearch_LS-4,axis powers of world war ii,CatQ,3
ysqle-trec-2010-67-1,b57,LQ,3
ysqle-yahoo-521-3,baby boy names,CatQ,100
ysqle-yahoo-467-1,backdoor games,CatQ,10
esdbpediav2-INEX_LD-2012315,baguio quezon city manila official independence 1945,ConQ,3
ysqle-trec-2013-47-0,banned drinks,CatQ,10
ysqle-trec-2013-47-1,banned food,CatQ,10
esdbpediav2-INEX_LD-2012390,baseball player most homeruns national league,ConQ,3
erd14-TREC-3,battles in the civil war,CatQ,100
ysqle-yahoo-523-25,bbc sherlock episodes,CatQ,10
ysqle-yahoo-510-13,beach chair,CatQ,100
esdbpediav2-INEX_LD-2012327,beloved author african-american nobel prize literature,ConQ,3
ysqle-yahoo-436-4,best buy laptops,CatQ,10
ysqle-yahoo-426-1,best cameras for concerts,CatQ,4
ysqle-yahoo-426-2,best cameras for photography,CatQ,4
ysqle-trec-2010-29-0,best elliptical trainers for home use,ConQ,4
ysqle-yahoo-518-3,best flea bomb,CatQ,4
ysqle-trec-2013-62-6,best getaways,ConQ,4
ysqle-yahoo-307-3,best house plans,ConQ,4
ysqle-yahoo-458-0,best online shopping sites,CatQ,4
ysqle-yahoo-51-0,best penpal sites,CatQ,4
ysqle-trec-2012-3-1,best programming language for beginners,ConQ,4
ysqle-trec-2013-62-1,best road trips,ConQ,4
ysqle-yahoo-523-11,best snl hosts,CatQ,4
ysqle-trec-2013-87-0,best us destinations,ConQ,4
ysqle-trec-2013-62-2,best worst road trips,ConQ,4
esdbpediav2-INEX_LD-20120421,bicycle holiday towns,CatQ,100
esdbpediav2-INEX_LD-20120411,bicycle sport races,CatQ,10
esdbpediav2-INEX_LD-2012373,birds cannot fly,CatQ,10
ysqle-yahoo-261-0,black dog machine magazines,CatQ,10
esdbpediav2-INEX_LD-2012359,bob ricker executive director the latest front group for the anti-gun movement,ConQ,4
ysqle-trec-2010-55-0,bobcat tractor,CatQ,10
ysqle-trec-2010-55-1,bobcat tractor attachment,CatQ,10
ysqle-trec-2012-30-1,bollywood oscars,CatQ,3
ysqle-trec-2012-29-1,bollywood stars,CatQ,100
esdbpediav2-INEX_XER-128,bond girls,CatQ,10
esdbpediav2-SemSearch_LS-6,boroughs of new york city,CatQ,3
ysqle-yahoo-116-0,bow ties,CatQ,100
esdbpediav2-SemSearch_LS-7,branches of the us military,CatQ,3
ysqle-yahoo-475-0,cameras,CatQ,100
esdbpediav2-TREC_Entity-10,campuses of indiana university.,CatQ,3
ysqle-yahoo-101-1,cargo pants,CatQ,100
esdbpediav2-TREC_Entity-1,carriers that blackberry makes phones for.,CatQ,10
ysqle-yahoo-17-0,cast of starship troopers 2,CatQ,10
ysqle-yahoo-366-0,cate blanchett role,CatQ,10
ysqle-trec-2010-130-0,cell phones,CatQ,100
ysqle-yahoo-496-2,century theaters san francisco,CatQ,10
ysqle-trec-2011-56-4,chanel top fragrance,ConQ,4
ysqle-trec-2011-56-5,chanel top fragrance in the world,ConQ,4
