ID;QUERY;CAT;DIFFICULTY;INT-ID;REL;EQV;COMMENT;;;;;;;;
ysqle-yahoo-120-0;$23 million lottery winner forgot;ConQ;1;1;3;;;$23 million;lottery winner;forgot;;;;;
ysqle-yahoo-479-1;$300k in gold dust found;ConQ;1;0;3;;;$300k;in;gold dust;found;;;;
ysqle-yahoo-435-2;$425 million jackpot;ConQ;1;0;3;;;$425 million jackpot;;;;;;;
ysqle-trec-2011-8-7;beauty or cosmetic and laser treatment;ConQ;1;0;3;;;beauty;or;cosmetic;and;laser treatment;;;
ysqle-trec-2013-132-0;euro or eurozone crisis;ConQ;2;0;3;;;https://en.wikipedia.org/wiki/Eurozone;or;https://en.wikipedia.org/wiki/European_debt_crisis;;;;;
esdbpediav2-SemSearch_ES-93;08 toyota tundra;ConQ;1;0;3;;;8;https://en.wikipedia.org/wiki/Toyota_Tundra;;;;;;
esdbpediav2-SemSearch_ES-93;08 toyota tundra;ConQ;1;1;1;;;8;https://en.wikipedia.org/wiki/Toyota;tundra;;;;;
ysqle-yahoo-311-5;145 pounds in kg;ConQ;1;0;3;;;145 pounds;in;kg;;;;;
ysqle-trec-2011-57-0;2005 presidential election in egypt;LQ;2;0;3;1;;https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005;;;;;;;
ysqle-trec-2011-57-0;2005 presidential election in egypt;LQ;2;1;2;0;;2005;presidential election;in;https://en.wikipedia.org/wiki/Egypt;;;;
ysqle-trec-2011-57-1;2005 presidential election in egypt forgery;ConQ;2;0;3;1;;https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005;forgery;;;;;;
ysqle-trec-2011-57-1;2005 presidential election in egypt forgery;ConQ;2;1;2;0;;2005;presidential election;in;https://en.wikipedia.org/wiki/Egypt;forgery;;;
ysqle-trec-2011-57-2;2005 presidential election egypt poster cost;ConQ;2;0;3;1;;https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005;poster cost;;;;;;
ysqle-trec-2011-57-2;2005 presidential election egypt poster cost;ConQ;2;1;2;0;;2005;presidential election;https://en.wikipedia.org/wiki/Egypt;poster cost;;;;
ysqle-trec-2011-58-1;2005 world snooker championship;LQ;1;0;3;;;https://en.wikipedia.org/wiki/2005_World_Snooker_Championship;;;;;;;
ysqle-trec-2011-58-0;2005 world snooker championships;LQ;1;0;3;;;https://en.wikipedia.org/wiki/2005_World_Snooker_Championship;;;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;1;2;;;2013;https://en.wikipedia.org/wiki/Accord_(company);;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;2;2;;;2013;https://en.wikipedia.org/wiki/Accord_(French_record_label);;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;3;2;;;2013;https://en.wikipedia.org/wiki/Accord_(Polish_record_label);;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;4;2;;;2013;https://en.wikipedia.org/wiki/Accord_(trade_union);;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;5;2;;;2013;https://en.wikipedia.org/wiki/Accord_Coalition;;;;;;
ysqle-yahoo-138-0;2013 accord;ConQ, LQ;2;6;2;;;2013;https://en.wikipedia.org/wiki/Accord,_New_York;;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;sedan;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;1;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_South_Australia;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;2;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Ardennes;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;3;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Indiana;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;4;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Iowa;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;5;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Kansas;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;6;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Minnesota;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;7;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Montana;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;8;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Nebraska;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;9;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Ohio;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;10;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Oklahoma;;;;;
ysqle-yahoo-138-5;2013 accord sedan;ConQ, LQ, SolEnQ;2;11;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_West_Virginia;;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;0;3;12;;2013;https://en.wikipedia.org/wiki/Honda_Accord;sedan;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;1;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_South_Australia;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;2;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Ardennes;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;3;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Indiana;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;4;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Iowa;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;5;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Kansas;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;6;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Minnesota;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;7;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Montana;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;8;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Nebraska;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;9;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Ohio;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;10;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_Oklahoma;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;11;1;;;2013;https://en.wikipedia.org/wiki/Honda_Accord;https://en.wikipedia.org/wiki/Sedan,_West_Virginia;photos;;;;
ysqle-yahoo-138-6;2013 accord sedan photos;ConQ;2;12;3;0;;https://en.wikipedia.org/wiki/Honda_Accord_(ninth_generation);photos;;;;;;
ysqle-yahoo-138-1;2013 altima recall;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;recall;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;sedan;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;1;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_South_Australia;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;2;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Ardennes;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;3;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Indiana;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;4;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Iowa;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;5;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Kansas;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;6;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Minnesota;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;7;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Montana;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;8;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Nebraska;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;9;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Ohio;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;10;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_Oklahoma;;;;;
ysqle-yahoo-138-2;2013 altima sedan;ConQ;2;11;1;;;2013;https://en.wikipedia.org/wiki/Nissan_Altima;https://en.wikipedia.org/wiki/Sedan,_West_Virginia;;;;;
ysqle-yahoo-138-12;2013 camry;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Toyota_Camry;;;;;;
ysqle-yahoo-138-13;2013 camry redesign;ConQ;2;0;3;1;;2013;https://en.wikipedia.org/wiki/Toyota_Camry;redesign;;;;;
ysqle-yahoo-138-13;2013 camry redesign;ConQ;2;1;3;0;;https://en.wikipedia.org/wiki/Toyota_Camry_(XV50);redesign;;;;;;
ysqle-yahoo-138-7;2013 kia optima;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Kia_Optima;;;;;;
ysqle-yahoo-138-7;2013 kia optima;ConQ;2;1;2;;;2013;https://en.wikipedia.org/wiki/Kia_Motors;optima;;;;;
ysqle-yahoo-138-7;2013 kia optima;ConQ;2;2;1;;;2013;kia;https://en.wikipedia.org/wiki/Optima;;;;;
ysqle-yahoo-138-10;2013 lacrosse buick;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Buick_LaCrosse;;;;;;
ysqle-yahoo-138-10;2013 lacrosse buick;ConQ;2;1;1;;;2013;lacrosse;https://en.wikipedia.org/wiki/Buick;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Chevrolet_Malibu;;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;1;2;;;2013;https://en.wikipedia.org/wiki/Malibu,_California;;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;2;2;;;2013;https://en.wikipedia.org/wiki/Malibu_(Toronto);;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;3;2;;;2013;https://en.wikipedia.org/wiki/Malibu,_British_Columbia;;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;4;1;;;2013;https://en.wikipedia.org/wiki/Malibu_(Hole_song);;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;5;1;;;2013;https://en.wikipedia.org/wiki/Malibu_(film);;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;6;1;;;2013;https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series);;;;;;
ysqle-yahoo-138-16;2013 malibu;ConQ;2;7;1;;;2013;https://en.wikipedia.org/wiki/Malibu_Country;;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Chevrolet_Malibu;pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;1;2;;;2013;https://en.wikipedia.org/wiki/Malibu,_California;pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;2;2;;;2013;https://en.wikipedia.org/wiki/Malibu_(Toronto);pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;3;2;;;2013;https://en.wikipedia.org/wiki/Malibu,_British_Columbia;pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;4;2;;;2013;https://en.wikipedia.org/wiki/Malibu_(film);pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;5;2;;;2013;https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series);pictures;;;;;
ysqle-yahoo-138-17;2013 malibu pictures;ConQ;2;6;1;;;2013;https://en.wikipedia.org/wiki/Malibu_Country;pictures;;;;;
ysqle-yahoo-138-18;2013 malibu price;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Chevrolet_Malibu;price;;;;;
ysqle-yahoo-138-18;2013 malibu price;ConQ;2;1;1;;;2013;https://en.wikipedia.org/wiki/Malibu_(Hole_song);price;;;;;
ysqle-yahoo-138-18;2013 malibu price;ConQ;2;2;1;;;2013;https://en.wikipedia.org/wiki/Malibu_(film);price;;;;;
ysqle-yahoo-138-18;2013 malibu price;ConQ;2;3;1;;;2013;https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series);price;;;;;
ysqle-yahoo-138-18;2013 malibu price;ConQ;2;4;1;;;2013;https://en.wikipedia.org/wiki/Malibu_Country;price;;;;;
ysqle-yahoo-138-14;2013 mazda cx5;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Mazda_CX-5;;;;;;
ysqle-yahoo-138-8;2013 rav4;ConQ;2;0;3;;;2013;https://en.wikipedia.org/wiki/Toyota_RAV4;;;;;;
ysqle-yahoo-493-9;2014 nfl mock draft;ConQ;2;0;3;1;;https://en.wikipedia.org/wiki/2014_NFL_Draft;;;;;;;
ysqle-yahoo-493-9;2014 nfl mock draft;ConQ;2;1;3;0;;2014;https://en.wikipedia.org/wiki/National_Football_League_Draft;;;;;;
ysqle-yahoo-72-2;3riversfcu credit union;LQ;1;0;3;;;https://www.3riversfcu.org/;;;;;;;
ysqle-trec-2012-2-0;403(b) retirement plan;LQ;1;0;3;;;https://en.wikipedia.org/wiki/403(b);;;;;;;
ysqle-yahoo-438-0;42 years in a coma;ConQ;2;0;3;;;42 years;in a coma;;;;;;
ysqle-yahoo-438-0;42 years in a coma;ConQ;2;1;1;;;42 years;https://en.wikipedia.org/wiki/In_a_Coma;;;;;;
esdbpediav2-SemSearch_ES-1;44 magnum hunting;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/.44_Magnum;hunting;;;;;;
esdbpediav2-SemSearch_ES-1;44 magnum hunting;ConQ;1;1;1;;User intent might be to ask if members of 44 Magnum (band) went hunting ;https://en.wikipedia.org/wiki/44_Magnum_(band);hunting;;;;;;
ysqle-yahoo-502-2;54 main madison nj;LQ;1;0;3;;;https://www.yelp.com/biz/54-main-bar-and-grille-madison;;;;;;;
ysqle-yahoo-190-0;6am band;ConQ, LQ;2;0;3;;;https://en.wikipedia.org/wiki/Sixx:A.M.;;;;;;;
ysqle-yahoo-190-0;6am band;ConQ, LQ;2;1;2;;;https://en.wikipedia.org/wiki/6_AM;band;;;;;;
ysqle-yahoo-201-1;707 gun shop myrtle beach sc;LQ;1;0;3;;;https://www.yelp.de/biz/707-gun-shop-myrtle-beach;;;;;;;
ysqle-yahoo-201-1;707 gun shop myrtle beach sc;LQ;1;1;1;;;707;gun shop;https://en.wikipedia.org/wiki/Myrtle_Beach,_South_Carolina;;;;;
ysqle-yahoo-201-1;707 gun shop myrtle beach sc;LQ;1;2;2;;Gun shop on the South Carolina Highway 707 passing through Myrtle Beach, South Carolina;https://en.wikipedia.org/wiki/South_Carolina_Highway_707;gun shop;https://en.wikipedia.org/wiki/Myrtle_Beach,_South_Carolina;;;;;
ysqle-yahoo-509-0;775 area code;ConQ;2;0;3;;;775;area code;;;;;;
ysqle-yahoo-45-1;aarp travel discounts;ConQ;1;0;3;;;https://travel.aarp.org/;discounts;;;;;;
ysqle-yahoo-45-1;aarp travel discounts;ConQ;1;1;2;;;https://en.wikipedia.org/wiki/AARP;travel discounts;;;;;;
ysqle-yahoo-494-3;abc.com;RLQ;1;0;2;;;abc.com;;;;;;;
ysqle-yahoo-140-2;adam levine slams;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Adam_Levine;slams;;;;;;
ysqle-yahoo-140-2;adam levine slams;ConQ;1;1;1;;;https://en.wikipedia.org/wiki/Adam_Levine_(press_aide);slams;;;;;;
ysqle-yahoo-494-7;address numerology;ConQ;1;0;2;;;address numerology;;;;;;;
ysqle-yahoo-322-1;adele baby;ConQ, RQ;2;0;3;;;https://en.wikipedia.org/wiki/Adele;baby;;;;;;
ysqle-yahoo-322-1;adele baby;ConQ, RQ;2;1;2;;;https://en.wikipedia.org/wiki/Jan_Adele;baby;;;;;;
ysqle-yahoo-322-1;adele baby;ConQ, RQ;2;2;1;;Adele musical Rockabye Baby;https://en.wikipedia.org/wiki/Adele_(musical);baby;;;;;;
erd14-TREC-1;adobe indian houses;ConQ;1;0;1;;Company houses of Adobe in India;https://en.wikipedia.org/wiki/Adobe_Systems;https://en.wikipedia.org/wiki/India;houses;;;;;
erd14-TREC-1;adobe indian houses;ConQ;1;1;3;;Houses built by the Native American Indians in the United States;adobe;https://en.wikipedia.org/wiki/Native_Americans_in_the_United_States;houses;;;;;
ysqle-yahoo-78-4;adobe pdf converter;ConQ;2;0;3;;;https://en.wikipedia.org/wiki/Adobe_Systems;https://en.wikipedia.org/wiki/Portable_Document_Format;converter;;;;;
ysqle-yahoo-78-6;adobe pdf converter downloads;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Adobe_Systems;https://en.wikipedia.org/wiki/Portable_Document_Format;converter;downloads;;;;
ysqle-yahoo-78-6;adobe pdf converter downloads;ConQ;1;1;2;;;https://en.wikipedia.org/wiki/Adobe_Acrobat;downloads;;;;;;
